node_id,rate,budget_save,user_num,budget,ep_utility,ac_utility
2,0.5453939434338049,12.286474460892606,5,200,82.33574908024954,38
2,0.3944699291805017,23.9349056272933,5,250,83.53990210777118,26
2,0.7251262916254892,17.513341142353124,6,300,90,52
2,0.46045286479204517,45.81535051878295,6,350,90,34
2,0.41881347419457693,56.67147055157215,6,400,90,29
2,0.7739223338958244,28.755182984215793,6,450,90,61
2,0.7132558244319125,48.2856596810287,6,500,90,54
2,0.5705300424424958,77.54160411665403,6,550,90,37
2,0.683772233983162,57.758893027546996,6,600,90,52
2,0.6288157091446652,94.8606893924104,7,650,90,55
2,0.40371520600005606,145.252380605818,6,700,90,32
2,0.5262443198816036,132.588797683017,6,750,90,41
2,0.6666666666666667,96.83393488707026,6,800,90,50
