node_id,rate,budget_save,user_num,budget,ep_utility,ac_utility
2,0.46875408498302584,10.207455138735417,5,200,84.1794586141433,30
2,0.7018576030000281,7.850726626245248,11,250,90,54
2,0.6258342613226058,7.294911420976733,7,300,90,48
2,0.80563493683849,5.386876413768351,14,350,90,67
2,0.6633498353879308,5.794934617667103,16,400,90,61
2,0.7739223338958244,16.62309914876815,15,450,90,66
2,0.8236165792623606,23.60502626149423,14,500,90,73
2,0.8114381916835873,26.652050917375558,13,550,90,66
2,0.8114381916835873,21.846268148863736,14,600,90,67
2,0.7788916806429733,62.093039543300335,14,650,90,65
2,0.7375330708662731,58.384148264875655,13,700,90,63
2,0.7461408964712031,65.06886204607763,12,750,90,70
2,0.8,85.3010650398123,15,800,90,69
