node_id,rate,budget_save,user_num,budget
0.0,0.5423170483724281,13.666126963961934,6,200
1.0,0.40825348803205475,15.639616597056511,5,200
2.0,0.48176122436522706,13.696837400361202,5,200
3.0,0.3488471761560118,17.209700953103894,5,200
4.0,0.5123753720557402,12.887718085516426,5,200
0.0,0.3895644350569273,14.314652077111734,5,200
1.0,0.531308063705443,12.78071491375838,7,200
2.0,0.3980982519665569,14.114534936226418,5,200
3.0,0.37390096630005887,14.681958830603712,5,200
4.0,0.4879236168087595,12.008139242299794,5,200
0.0,0.37845692870591485,13.724713049851367,5,200
1.0,0.48022703569132275,11.766331233688987,6,200
2.0,0.5750630298839267,9.383320719791078,5,200
3.0,0.3878997903393051,13.516198833744191,6,200
4.0,0.39907478742266844,13.269436162924364,6,200
0.0,0.48496295483262875,11.948328998954423,5,200
1.0,0.38863227775480425,14.183101493899612,6,200
2.0,0.49516622254731923,11.711623696562214,5,200
3.0,0.4146226288395949,13.580152116814524,5,200
4.0,0.42554373534619716,13.326793693769245,6,200
0.0,0.41780813435684916,14.524878768817118,5,200
1.0,0.44840024013605007,15.199163150191538,6,200
2.0,0.4486380499163911,13.755715177943983,5,200
3.0,0.26424641806285887,18.356030394815345,4,200
4.0,0.45430981520850333,13.614212508231986,6,200
0.0,0.4474937485469175,31.116492281360763,6,300
1.0,0.5087653560569694,28.150168797100672,6,300
2.0,0.5183362168483082,27.12672906638299,6,300
3.0,0.6497619856916348,22.807378049838526,6,300
4.0,0.3963076574575055,33.999231805317024,6,300
0.0,0.46295153604951167,31.022010920054072,6,300
1.0,0.6133371019591982,26.04368252974135,7,300
2.0,0.3821696950502623,35.688284677149895,5,300
3.0,0.5410156139184399,26.51272574623575,6,300
4.0,0.47400887206468334,30.38329612681898,6,300
0.0,0.49320407927533805,30.63674039175365,6,300
1.0,0.47833809077048417,31.535416588355165,6,300
2.0,0.44760262750185253,33.39343156139385,6,300
3.0,0.7195242137604982,21.287285680772392,6,300
