node_id,rate,budget_save,user_num,budget,ep_utility,ac_utility
0,0.6588788538310233,6.6559875253647345,7,200,110,56
0,0.6407077664478271,7.925497138736053,6,250,110,53
0,0.7337123906204217,7.432193299756159,13,300,110,73
0,0.5887933498945949,9.11582430902057,13,350,110,54
0,0.6780739780068041,12.438576523198325,18,400,110,69
0,0.6527864045000421,31.352212826070804,14,450,110,65
0,0.7371485037308917,36.423740200066604,15,500,110,76
0,0.7337123906204217,43.33555779701034,13,550,110,69
0,0.6724748448245124,58.27535252688406,12,600,110,64
0,0.7203898818321873,68.46150577612158,14,650,110,67
0,0.6630685512473486,89.53096366860261,16,700,110,63
0,0.6984886554222364,89.46157219910012,13,750,110,72
0,0.6562241745238357,113.74706150739917,13,800,110,73
1,0.6516706539303165,7.588993406187295,10,200,150,79
1,0.5439298299603448,10.188448241748965,13,250,150,72
1,0.6294148770750054,2.890853700668348,13,300,150,79
1,0.696684982237938,7.9249094459250875,14,350,150,90
1,0.7219112851384772,16.856627933747976,11,400,150,98
1,0.6858874936162734,23.034985664327458,14,450,150,101
1,0.6422291236000337,59.97788125955671,12,500,150,92
1,0.6403705610863686,45.13477422008917,13,550,150,86
1,0.6422291236000337,64.42582628578793,13,600,150,90
1,0.7033520605161735,71.17823140839087,14,650,150,92
1,0.6734013676289096,75.17200342213964,13,700,150,102
1,0.8067816433841408,47.51588612001277,9,750,150,114
1,0.7533473391828396,139.51070767700645,16,800,150,109
2,0.46875408498302584,10.207455138735417,5,200,84.1794586141433,30
2,0.7018576030000281,7.850726626245248,11,250,90,54
2,0.6258342613226058,7.294911420976733,7,300,90,48
2,0.80563493683849,5.386876413768351,14,350,90,67
2,0.6633498353879308,5.794934617667103,16,400,90,61
2,0.7739223338958244,16.62309914876815,15,450,90,66
2,0.8236165792623606,23.60502626149423,14,500,90,73
2,0.8114381916835873,26.652050917375558,13,550,90,66
2,0.8114381916835873,21.846268148863736,14,600,90,67
2,0.7788916806429733,62.093039543300335,14,650,90,65
2,0.7375330708662731,58.384148264875655,13,700,90,63
2,0.7461408964712031,65.06886204607763,12,750,90,70
2,0.8,85.3010650398123,15,800,90,69
3,0.5192598299381348,9.237028616281659,5,200,83.33850598854097,33
3,0.594590744661054,4.027337783333071,8,250,90,54
3,0.6027874904062338,7.820382299003541,15,300,90,63
3,0.7018576030000281,2.744840570702886,12,350,90,57
3,0.7739223338958244,14.394086376434563,15,400,90,66
3,0.6908793834834766,16.378699308691694,14,450,90,62
3,0.8845299461620748,16.984609921991677,12,500,90,83
3,0.7596299149690674,31.016530143206925,17,550,90,62
3,0.7550510257216823,39.305938650227176,14,600,90,64
3,0.7505561742150706,54.774950347795055,13,650,90,64
3,0.660065365760481,71.69973634486902,15,700,90,62
3,0.80563493683849,45.77422018549119,14,750,90,73
3,0.8585786437626906,56.15203530298844,13,800,90,70
4,0.054836874749478404,18.160535313430888,2,200,20.84823232281172,2
4,0.5453939434338049,10.027990209936645,10,250,60,25
4,0.7,5.671659279595188,7,300,60,37
4,0.7231125379027309,6.597549260583103,15,350,60,39
4,0.7619523857152384,13.875774548952094,12,400,60,41
4,0.7690598923241497,4.081003052141936,15,450,60,43
4,0.7763932022500211,32.128742356890776,16,500,60,48
4,0.6944949536696107,40.42108692231802,13,550,60,39
4,0.7056079711224051,54.856614388237,14,600,60,40
4,0.8,36.56227292439225,15,650,60,47
4,0.7690598923241497,53.72314829951267,13,700,60,43
4,0.8641101056459327,139.60945944931805,14,750,60,48
4,0.8709005551264195,43.84913047279366,11,800,60,49
