node_id,rate,budget_save,user_num,budget,ep_utility,ac_utility
0,0.450620184373159,10.74928251844384,9,200,110,39
1,0.5366786572294919,9.20513560021269,8,200,150,66
2,0.5577833612859466,8.65250496775209,5,200,83.08959961053878,36
3,0.5055867675269559,9.673794641774148,5,200,83.67355950086221,30
4,0.12250356126078787,17.16928227181723,3,200,32.206600426019115,5
0,0.5757359312880715,8.548120416685526,7,250,110,52
1,0.5395654226711465,9.331426230805725,9,250,150,71
2,0.6802778984458187,6.617807614220182,10,250,90,48
3,0.7461408964712031,4.990316016057438,5,250,84.63883030584027,58
4,0.6440973915989563,7.442329722231032,13,250,60,31
0,0.6535898384862245,11.484837971833356,15,300,110,70
1,0.6795836042480556,12.68046582238319,10,300,150,90
2,0.7891814893221081,8.056296561841355,8,300,90,67
3,0.6568123286337667,11.301068707431272,13,300,90,62
4,0.7171572875253811,6.127330936510855,8,300,60,37
0,0.7269698651330689,8.686735232911941,16,350,110,71
1,0.729198719845468,8.940415835867068,12,350,150,101
2,0.7690598923241497,7.709468078741874,11,350,90,62
3,0.6700168354462779,11.181249361882807,15,350,90,60
4,0.7550510257216823,9.442131490596278,9,350,60,39
0,0.7015189971021454,10.057577222401054,15,400,110,71
1,0.7033520605161735,12.586186701381477,12,400,150,98
2,1.0,4.659717855949788,14,400,90,64
3,0.6258342613226058,14.719508566148807,14,400,90,54
4,0.6633498353879308,18.04700965411886,16,400,60,38
0,0.686660219279744,19.794877974678165,14,450,110,73
1,0.7392319037918941,14.395442548002519,15,450,150,109
2,0.7333333333333334,19.538205046293086,13,450,90,64
3,0.7690598923241497,19.577909664058094,15,450,90,68
4,0.7550510257216823,15.803564766968057,17,450,60,43
0,0.7108004778075115,37.33658962696465,10,500,110,69
1,0.7078813026639115,33.52680509527969,14,500,150,88
2,0.8,19.17397138893028,13,500,90,71
3,0.7891814893221081,23.673227232043562,14,500,90,70
4,0.66833752096446,30.839406656781748,17,500,60,35
0,0.6432469659936622,44.5705351223255,12,550,110,68
1,0.7316718427000253,36.793279621871775,13,550,150,96
2,0.7018576030000281,35.39160861786702,13,550,90,57
3,0.6873056160117714,35.706267764440945,15,550,90,60
4,0.6944949536696107,37.85830887349443,15,550,60,36
0,0.6588788538310233,67.62794296589061,11,600,110,59
1,0.5983367911628782,68.61539473492269,16,600,150,82
2,0.7642977396044841,40.974483419799185,14,600,90,63
3,0.7788916806429733,39.02941791483206,11,600,90,71
4,0.7690598923241497,39.5227609645558,13,600,60,45
0,0.7045804216496014,51.065115959896296,14,650,110,78
1,0.7033520605161735,73.72010567080028,14,650,150,97
2,0.7945195332343674,49.14673711386684,15,650,90,71
3,0.7690598923241497,54.94772252945904,15,650,90,66
4,0.66833752096446,62.1803187259777,15,650,60,36
0,0.6562241745238357,91.81337056181769,12,700,110,64
1,0.6258342613226059,94.61985765716209,13,700,150,83
2,0.8174258141649446,41.769043679592606,14,700,90,71
3,0.717157287525381,65.52547791425614,13,700,90,67
4,0.8,53.31225018717143,13,700,60,44
0,0.7867992836443896,85.70462143854225,10,750,110,77
1,0.7316718427000253,90.85833820432853,13,750,150,96
2,0.8845299461620748,43.474292597417836,13,750,90,73
3,0.7505561742150706,85.85002403703136,14,750,90,61
4,0.7550510257216823,99.16272372267973,15,750,60,42
0,0.723660288116897,76.73089442116098,11,800,110,72
1,0.6222875873542588,122.48449084004213,15,800,150,89
2,0.7739223338958244,98.42735718157896,15,800,90,65
3,0.7891814893221081,73.20716170719548,12,800,90,66
4,0.7113248654051871,81.1600958500224,13,800,60,41
